,Year,Period,Avg hrs per day sleeping,Type of Days,Age Group,Activity,Sex
315,2003,Annual,8.48,All days,15 years and over,Sleeping,Men
316,2004,Annual,8.48,All days,15 years and over,Sleeping,Men
317,2005,Annual,8.53,All days,15 years and over,Sleeping,Men
318,2006,Annual,8.56,All days,15 years and over,Sleeping,Men
319,2007,Annual,8.52,All days,15 years and over,Sleeping,Men
320,2008,Annual,8.56,All days,15 years and over,Sleeping,Men
321,2009,Annual,8.62,All days,15 years and over,Sleeping,Men
322,2010,Annual,8.56,All days,15 years and over,Sleeping,Men
323,2011,Annual,8.62,All days,15 years and over,Sleeping,Men
324,2012,Annual,8.6,All days,15 years and over,Sleeping,Men
325,2013,Annual,8.65,All days,15 years and over,Sleeping,Men
326,2014,Annual,8.69,All days,15 years and over,Sleeping,Men
327,2015,Annual,8.77,All days,15 years and over,Sleeping,Men
328,2016,Annual,8.69,All days,15 years and over,Sleeping,Men
329,2017,Annual,8.7,All days,15 years and over,Sleeping,Men
330,2003,Annual,8.16,Nonholiday weekdays,15 years and over,Sleeping,Men
331,2004,Annual,8.16,Nonholiday weekdays,15 years and over,Sleeping,Men
332,2005,Annual,8.25,Nonholiday weekdays,15 years and over,Sleeping,Men
333,2006,Annual,8.26,Nonholiday weekdays,15 years and over,Sleeping,Men
334,2007,Annual,8.2,Nonholiday weekdays,15 years and over,Sleeping,Men
335,2008,Annual,8.27,Nonholiday weekdays,15 years and over,Sleeping,Men
336,2009,Annual,8.31,Nonholiday weekdays,15 years and over,Sleeping,Men
337,2010,Annual,8.27,Nonholiday weekdays,15 years and over,Sleeping,Men
338,2011,Annual,8.33,Nonholiday weekdays,15 years and over,Sleeping,Men
339,2012,Annual,8.28,Nonholiday weekdays,15 years and over,Sleeping,Men
340,2013,Annual,8.38,Nonholiday weekdays,15 years and over,Sleeping,Men
341,2014,Annual,8.44,Nonholiday weekdays,15 years and over,Sleeping,Men
342,2015,Annual,8.52,Nonholiday weekdays,15 years and over,Sleeping,Men
343,2016,Annual,8.36,Nonholiday weekdays,15 years and over,Sleeping,Men
344,2017,Annual,8.4,Nonholiday weekdays,15 years and over,Sleeping,Men
345,2003,Annual,9.22,Weekend days and holidays,15 years and over,Sleeping,Men
346,2004,Annual,9.23,Weekend days and holidays,15 years and over,Sleeping,Men
347,2005,Annual,9.22,Weekend days and holidays,15 years and over,Sleeping,Men
348,2006,Annual,9.28,Weekend days and holidays,15 years and over,Sleeping,Men
349,2007,Annual,9.24,Weekend days and holidays,15 years and over,Sleeping,Men
350,2008,Annual,9.25,Weekend days and holidays,15 years and over,Sleeping,Men
351,2009,Annual,9.33,Weekend days and holidays,15 years and over,Sleeping,Men
352,2010,Annual,9.28,Weekend days and holidays,15 years and over,Sleeping,Men
353,2011,Annual,9.31,Weekend days and holidays,15 years and over,Sleeping,Men
354,2012,Annual,9.33,Weekend days and holidays,15 years and over,Sleeping,Men
355,2013,Annual,9.3,Weekend days and holidays,15 years and over,Sleeping,Men
356,2014,Annual,9.26,Weekend days and holidays,15 years and over,Sleeping,Men
357,2015,Annual,9.34,Weekend days and holidays,15 years and over,Sleeping,Men
358,2016,Annual,9.47,Weekend days and holidays,15 years and over,Sleeping,Men
359,2017,Annual,9.38,Weekend days and holidays,15 years and over,Sleeping,Men
360,2003,Annual,9.14,All days,15 to 24 years,Sleeping,Men
361,2004,Annual,9.12,All days,15 to 24 years,Sleeping,Men
362,2005,Annual,9.2,All days,15 to 24 years,Sleeping,Men
363,2006,Annual,9.21,All days,15 to 24 years,Sleeping,Men
364,2007,Annual,9.03,All days,15 to 24 years,Sleeping,Men
365,2008,Annual,9.27,All days,15 to 24 years,Sleeping,Men
366,2009,Annual,9.56,All days,15 to 24 years,Sleeping,Men
367,2010,Annual,9.21,All days,15 to 24 years,Sleeping,Men
368,2011,Annual,9.33,All days,15 to 24 years,Sleeping,Men
369,2012,Annual,9.16,All days,15 to 24 years,Sleeping,Men
370,2013,Annual,9.3,All days,15 to 24 years,Sleeping,Men
371,2014,Annual,9.47,All days,15 to 24 years,Sleeping,Men
372,2015,Annual,9.51,All days,15 to 24 years,Sleeping,Men
373,2016,Annual,9.59,All days,15 to 24 years,Sleeping,Men
374,2017,Annual,9.78,All days,15 to 24 years,Sleeping,Men
375,2003,Annual,8.73,Nonholiday weekdays,15 to 24 years,Sleeping,Men
376,2004,Annual,8.65,Nonholiday weekdays,15 to 24 years,Sleeping,Men
377,2005,Annual,8.88,Nonholiday weekdays,15 to 24 years,Sleeping,Men
378,2006,Annual,8.93,Nonholiday weekdays,15 to 24 years,Sleeping,Men
379,2007,Annual,8.58,Nonholiday weekdays,15 to 24 years,Sleeping,Men
380,2008,Annual,8.9,Nonholiday weekdays,15 to 24 years,Sleeping,Men
381,2009,Annual,9.25,Nonholiday weekdays,15 to 24 years,Sleeping,Men
382,2010,Annual,8.88,Nonholiday weekdays,15 to 24 years,Sleeping,Men
383,2011,Annual,9.01,Nonholiday weekdays,15 to 24 years,Sleeping,Men
384,2012,Annual,8.68,Nonholiday weekdays,15 to 24 years,Sleeping,Men
385,2013,Annual,8.93,Nonholiday weekdays,15 to 24 years,Sleeping,Men
386,2014,Annual,9.33,Nonholiday weekdays,15 to 24 years,Sleeping,Men
387,2015,Annual,9.35,Nonholiday weekdays,15 to 24 years,Sleeping,Men
388,2016,Annual,9.14,Nonholiday weekdays,15 to 24 years,Sleeping,Men
389,2017,Annual,9.46,Nonholiday weekdays,15 to 24 years,Sleeping,Men
390,2003,Annual,10.13,Weekend days and holidays,15 to 24 years,Sleeping,Men
391,2004,Annual,10.25,Weekend days and holidays,15 to 24 years,Sleeping,Men
392,2005,Annual,9.96,Weekend days and holidays,15 to 24 years,Sleeping,Men
393,2006,Annual,9.88,Weekend days and holidays,15 to 24 years,Sleeping,Men
394,2007,Annual,9.99,Weekend days and holidays,15 to 24 years,Sleeping,Men
395,2008,Annual,10.13,Weekend days and holidays,15 to 24 years,Sleeping,Men
396,2009,Annual,10.31,Weekend days and holidays,15 to 24 years,Sleeping,Men
397,2010,Annual,9.99,Weekend days and holidays,15 to 24 years,Sleeping,Men
398,2011,Annual,10.11,Weekend days and holidays,15 to 24 years,Sleeping,Men
399,2012,Annual,10.24,Weekend days and holidays,15 to 24 years,Sleeping,Men
400,2013,Annual,10.18,Weekend days and holidays,15 to 24 years,Sleeping,Men
401,2014,Annual,9.8,Weekend days and holidays,15 to 24 years,Sleeping,Men
402,2015,Annual,9.9,Weekend days and holidays,15 to 24 years,Sleeping,Men
403,2016,Annual,10.65,Weekend days and holidays,15 to 24 years,Sleeping,Men
404,2017,Annual,10.46,Weekend days and holidays,15 to 24 years,Sleeping,Men
405,2003,Annual,8.3,All days,25 to 34 years,Sleeping,Men
406,2004,Annual,8.42,All days,25 to 34 years,Sleeping,Men
407,2005,Annual,8.44,All days,25 to 34 years,Sleeping,Men
408,2006,Annual,8.4,All days,25 to 34 years,Sleeping,Men
409,2007,Annual,8.45,All days,25 to 34 years,Sleeping,Men
410,2008,Annual,8.48,All days,25 to 34 years,Sleeping,Men
411,2009,Annual,8.48,All days,25 to 34 years,Sleeping,Men
412,2010,Annual,8.28,All days,25 to 34 years,Sleeping,Men
413,2011,Annual,8.37,All days,25 to 34 years,Sleeping,Men
414,2012,Annual,8.55,All days,25 to 34 years,Sleeping,Men
415,2013,Annual,8.45,All days,25 to 34 years,Sleeping,Men
416,2014,Annual,8.62,All days,25 to 34 years,Sleeping,Men
417,2015,Annual,8.79,All days,25 to 34 years,Sleeping,Men
418,2016,Annual,8.54,All days,25 to 34 years,Sleeping,Men
419,2017,Annual,8.47,All days,25 to 34 years,Sleeping,Men
420,2003,Annual,7.91,Nonholiday weekdays,25 to 34 years,Sleeping,Men
421,2004,Annual,8.0,Nonholiday weekdays,25 to 34 years,Sleeping,Men
422,2005,Annual,8.01,Nonholiday weekdays,25 to 34 years,Sleeping,Men
423,2006,Annual,7.94,Nonholiday weekdays,25 to 34 years,Sleeping,Men
424,2007,Annual,8.02,Nonholiday weekdays,25 to 34 years,Sleeping,Men
425,2008,Annual,8.13,Nonholiday weekdays,25 to 34 years,Sleeping,Men
426,2009,Annual,8.13,Nonholiday weekdays,25 to 34 years,Sleeping,Men
427,2010,Annual,7.91,Nonholiday weekdays,25 to 34 years,Sleeping,Men
428,2011,Annual,7.94,Nonholiday weekdays,25 to 34 years,Sleeping,Men
429,2012,Annual,8.25,Nonholiday weekdays,25 to 34 years,Sleeping,Men
430,2013,Annual,8.12,Nonholiday weekdays,25 to 34 years,Sleeping,Men
431,2014,Annual,8.31,Nonholiday weekdays,25 to 34 years,Sleeping,Men
432,2015,Annual,8.55,Nonholiday weekdays,25 to 34 years,Sleeping,Men
433,2016,Annual,8.17,Nonholiday weekdays,25 to 34 years,Sleeping,Men
434,2017,Annual,8.02,Nonholiday weekdays,25 to 34 years,Sleeping,Men
435,2003,Annual,9.23,Weekend days and holidays,25 to 34 years,Sleeping,Men
436,2004,Annual,9.38,Weekend days and holidays,25 to 34 years,Sleeping,Men
437,2005,Annual,9.46,Weekend days and holidays,25 to 34 years,Sleeping,Men
438,2006,Annual,9.5,Weekend days and holidays,25 to 34 years,Sleeping,Men
439,2007,Annual,9.43,Weekend days and holidays,25 to 34 years,Sleeping,Men
440,2008,Annual,9.32,Weekend days and holidays,25 to 34 years,Sleeping,Men
441,2009,Annual,9.34,Weekend days and holidays,25 to 34 years,Sleeping,Men
442,2010,Annual,9.17,Weekend days and holidays,25 to 34 years,Sleeping,Men
443,2011,Annual,9.34,Weekend days and holidays,25 to 34 years,Sleeping,Men
444,2012,Annual,9.28,Weekend days and holidays,25 to 34 years,Sleeping,Men
445,2013,Annual,9.22,Weekend days and holidays,25 to 34 years,Sleeping,Men
446,2014,Annual,9.32,Weekend days and holidays,25 to 34 years,Sleeping,Men
447,2015,Annual,9.33,Weekend days and holidays,25 to 34 years,Sleeping,Men
448,2016,Annual,9.45,Weekend days and holidays,25 to 34 years,Sleeping,Men
449,2017,Annual,9.45,Weekend days and holidays,25 to 34 years,Sleeping,Men
450,2003,Annual,8.2,All days,35 to 44 years,Sleeping,Men
451,2004,Annual,8.2,All days,35 to 44 years,Sleeping,Men
452,2005,Annual,8.36,All days,35 to 44 years,Sleeping,Men
453,2006,Annual,8.28,All days,35 to 44 years,Sleeping,Men
454,2007,Annual,8.28,All days,35 to 44 years,Sleeping,Men
455,2008,Annual,8.31,All days,35 to 44 years,Sleeping,Men
456,2009,Annual,8.28,All days,35 to 44 years,Sleeping,Men
457,2010,Annual,8.29,All days,35 to 44 years,Sleeping,Men
458,2011,Annual,8.35,All days,35 to 44 years,Sleeping,Men
459,2012,Annual,8.33,All days,35 to 44 years,Sleeping,Men
460,2013,Annual,8.37,All days,35 to 44 years,Sleeping,Men
461,2014,Annual,8.19,All days,35 to 44 years,Sleeping,Men
462,2015,Annual,8.67,All days,35 to 44 years,Sleeping,Men
463,2016,Annual,8.41,All days,35 to 44 years,Sleeping,Men
464,2017,Annual,8.36,All days,35 to 44 years,Sleeping,Men
465,2003,Annual,7.86,Nonholiday weekdays,35 to 44 years,Sleeping,Men
466,2004,Annual,7.88,Nonholiday weekdays,35 to 44 years,Sleeping,Men
467,2005,Annual,8.03,Nonholiday weekdays,35 to 44 years,Sleeping,Men
468,2006,Annual,7.95,Nonholiday weekdays,35 to 44 years,Sleeping,Men
469,2007,Annual,7.98,Nonholiday weekdays,35 to 44 years,Sleeping,Men
470,2008,Annual,7.99,Nonholiday weekdays,35 to 44 years,Sleeping,Men
471,2009,Annual,7.93,Nonholiday weekdays,35 to 44 years,Sleeping,Men
472,2010,Annual,7.96,Nonholiday weekdays,35 to 44 years,Sleeping,Men
473,2011,Annual,8.0,Nonholiday weekdays,35 to 44 years,Sleeping,Men
474,2012,Annual,8.01,Nonholiday weekdays,35 to 44 years,Sleeping,Men
475,2013,Annual,8.01,Nonholiday weekdays,35 to 44 years,Sleeping,Men
476,2014,Annual,7.78,Nonholiday weekdays,35 to 44 years,Sleeping,Men
477,2015,Annual,8.33,Nonholiday weekdays,35 to 44 years,Sleeping,Men
478,2016,Annual,8.06,Nonholiday weekdays,35 to 44 years,Sleeping,Men
479,2017,Annual,7.97,Nonholiday weekdays,35 to 44 years,Sleeping,Men
480,2003,Annual,9.0,Weekend days and holidays,35 to 44 years,Sleeping,Men
481,2004,Annual,8.99,Weekend days and holidays,35 to 44 years,Sleeping,Men
482,2005,Annual,9.16,Weekend days and holidays,35 to 44 years,Sleeping,Men
483,2006,Annual,9.05,Weekend days and holidays,35 to 44 years,Sleeping,Men
484,2007,Annual,9.0,Weekend days and holidays,35 to 44 years,Sleeping,Men
485,2008,Annual,9.06,Weekend days and holidays,35 to 44 years,Sleeping,Men
486,2009,Annual,9.08,Weekend days and holidays,35 to 44 years,Sleeping,Men
487,2010,Annual,9.11,Weekend days and holidays,35 to 44 years,Sleeping,Men
488,2011,Annual,9.17,Weekend days and holidays,35 to 44 years,Sleeping,Men
489,2012,Annual,9.09,Weekend days and holidays,35 to 44 years,Sleeping,Men
490,2013,Annual,9.21,Weekend days and holidays,35 to 44 years,Sleeping,Men
491,2014,Annual,9.16,Weekend days and holidays,35 to 44 years,Sleeping,Men
492,2015,Annual,9.48,Weekend days and holidays,35 to 44 years,Sleeping,Men
493,2016,Annual,9.27,Weekend days and holidays,35 to 44 years,Sleeping,Men
494,2017,Annual,9.28,Weekend days and holidays,35 to 44 years,Sleeping,Men
495,2003,Annual,8.08,All days,45 to 54 years,Sleeping,Men
496,2004,Annual,8.11,All days,45 to 54 years,Sleeping,Men
497,2005,Annual,8.03,All days,45 to 54 years,Sleeping,Men
498,2006,Annual,8.2,All days,45 to 54 years,Sleeping,Men
499,2007,Annual,8.18,All days,45 to 54 years,Sleeping,Men
500,2008,Annual,8.16,All days,45 to 54 years,Sleeping,Men
501,2009,Annual,8.17,All days,45 to 54 years,Sleeping,Men
